标题,作者,年份,摘要,卷号,期号,期刊
从价值交易走向价值共创：创新型企业的价值转型过程研究,李树文;罗瑾琏;胡文安;,2022,随着数字情境的不确定性日益骤增，企业与客户间价值关系也逐渐从产品主导逻辑的价值交易转变为服务主导逻辑的价值共创。尽管现有研究提出了这种价值转型前后的特征差异，但关于创新型企业如何从价值交易转变为价值共创缺乏深入理论探讨。本研究以容智信息科技公司为调研对象，构建出创新型企业在数字化转型进程中从价值交易到价值共创的转型过程模型。研究发现：（1）企业从价值交易转向价值共创需依次经历连接迭代与赋新迭代两个过程；（2）在连接迭代中，企业依次通过前瞻性认知、适应性重构、创造性搜寻打破资源受限，形成数字资源优势，实现从产品提供商到数字化赋能企业、以产品为中心到以客户为中心的转变；（3）在赋新迭代中，企业依次通过数字资源能力的聚合、数字产业链的衍射、数字生态的共生突破优势选择，发展智能生态，实现从满足客户现有需求到挖掘客户潜在需求、从产品主导逻辑到服务主导逻辑的转变；（4）创新型企业的价值转型表现出一种在数字战略认知中的持续迭代与数字跃升逻辑，分别在连接与赋新迭代中解决资源受限与优势选择问题。本文研究结论不仅解构了数字战略认知框架，建构了创新型企业数字化转型的双重逻辑，而且延伸了数字化转型情境下组织能力理论。,38,03,管理世界
数字经济理论体系与研究展望,陈晓红;李杨扬;宋丽洁;汪阳洁;,2022,"以新一代信息技术为基础的数字经济日益成为推动经济发展的重要动力,但相关数字经济理论研究滞后,难以准确解释新经济现象和更有效指导新发展阶段下经济高质量发展实践。本文聚焦数字技术变革对相关经济学基本理论发展的影响,力图助推中国特色数字经济理论体系的创建。通过对国内外相关主题文献进行系统梳理,文章首先提炼了数字经济理论发展中的重要科学问题,以此为逻辑起点,基于""内涵特征—现实表现—核心理论—方法体系""学理链,构建了一个数字经济理论体系框架。其次,本文相继阐释了理论体系框架中的数字经济内涵与特征、数字经济核心理论,以及技术变革下的数字经济研究方法体系。最后,本文讨论了数字经济理论体系的拓展及未来研究方向。",38,02,管理世界
数字普惠金融与中国经济的包容性增长：理论分析和经验证据,任太增;殷志高;,2022,"数字普惠金融的出发点与包容性增长理念具有高度契合性,基于中国2011—2018年地级市数据、中小企业数据和2014—2018年家庭追踪调查数据,运用固定效应模型、现金-现金流敏感性模型以及Probit模型对数字普惠金融与包容性增长的关系进行实证检验。研究表明:数字普惠金融及其三个子维度对中国经济的包容性增长均具有显著的促进作用;且在地方政府效率、市场发育程度以及城市创新活力较高的地区,数字普惠金融对包容性增长的促进作用更加明显;另外,数字普惠金融可以通过缓解中小企业融资约束和促进低收入家庭创业实现经济的包容性增长。本文丰富了数字普惠金融的经济效应研究,也为全面理解经济包容性增长的驱动因素提供了经验支持。",35,01,管理学刊
中国城市数字经济发展对环境污染的影响及机理研究,邓荣荣;张翱祥;,2022,"数字经济为政府治理、企业生产和居民生活等领域带来了深刻变革,数字经济发展是否抑制了环境污染是亟需解答的问题。文章基于中国285个城市2011-2018年的面板数据,运用固定效应模型、空间杜宾模型、中介效应模型等方法,多维度实证检验了数字经济发展对城市环境污染的影响及其中介机制。研究发现,数字经济发展显著降低了城市各类环境污染物的排放,运用工具变量估计、引入外生政策冲击、替换解释变量等方法进行稳健性检验后,该结论仍然成立。数字经济发展对不同污染物的降低作用有所差异,对工业二氧化硫排放量的降低效应最明显,工业废水和工业烟尘排放量次之,对PM_(2.5)浓度的降低效应最小。中介效应分析表明,绿色创新和产业结构优化是数字经济降低城市环境污染物排放的重要机制。空间溢出效应分析表明,数字经济发展对周边城市各类环境污染物存在负向空间溢出效应。空间异质性分析表明,东部地区数字经济发展的污染减排效应相比中、西部地区更大,且数字经济发展仅在东、中部地区具有显著的空间溢出效应。文章的内容丰富了有关环境污染影响因素的研究,也是对有关数字经济研究的有效补充,研究结论为数字经济助力环境污染治理提供了可靠的实证依据,同时为发展数字经济、充分发挥数字经济的污染减排提供了政策参考。",,02,南方经济
数字经济、产业结构升级与全要素生产率,张凌洁;马立平;,2022,文章在分析数字经济发展对全要素生产率影响机理的基础上，基于2010—2019年我国省际面板数据，应用中介效应模型考察数字经济发展对全要素生产率增长的促进效应。结果表明，总体上数字经济可有效通过产业结构升级促进全要素生产率的增长。分区域看，数字经济对我国东部、中西部省份的产业结构升级均起到显著促进作用，但在产业结构升级和全要素生产率的优化方面，东部地区数字经济发展的作用明显高于中西部地区。,38,03,统计与决策
数字经济与乡村振兴耦合的理论构建、实证分析及优化路径,张旺;白永秀;,2022,创新性地将数字经济与乡村振兴纳入统一框架，探索性地融合扎根理论和实证模型，提出包含理论构建—实证分析—优化路径完整的研究框架，采用12个案例和2012—2019年30个省(自治区、直辖市)面板数据展现出研究过程。研究发现，数字经济与乡村振兴在内、外部环境下通过关键活动交叉耦合，数字经济包含数字基础设施、农业数字化和农业数字产业化，乡村振兴包含产业兴旺、生态宜居、乡风文明、治理有效、生活富裕；数字经济的发展程度整体上弱于乡村振兴，但前者增长速度明显快于后者，差距逐步缩小；数字经济与乡村振兴具有强烈的相关性，但并未达到最优耦合状态，难以高质量实现协调互补发展；不同省份、不同年份的指标层和要素层主要障碍因子不尽相同，却反映出耦合系统协调演化的主要障碍。,,01,中国软科学
数字化转型的价值：基于企业现金持有的视角,谭志东;赵洵;潘俊;谭建华;,2022,"数字化给经济社会发展带来巨大变化,企业数字化转型为我国在新一轮产业革命中实现弯道超车提供了契机。而数字化转型的价值是什么？文章基于“两化”融合贯标试点的准自然实验,以制造业上市公司为研究对象,从企业现金持有视角间接测度了数字化转型的价值。研究发现：第一,企业数字化转型后,现金持有的交易动机和预防动机增强,数字化扮演着经济资源的角色,支持“资源论”；第二,数字化转型的价值实现存在时滞效应,且“阵痛期”后存在“加速”现象；第三,成长性提升和投资机会增加是数字化转型价值实现的两个途径；第四,数字化转型的价值实现不仅受企业规模和多元化程度等内部因素的影响,还受地区数字化环境等外部因素的影响。文章的研究为政府制定数字化相关政策和企业实施数字化转型提供了决策参考,具有一定的理论价值和现实意义。",48,03,财经研究
数字经济发展水平测度及其对全要素生产率的影响效应,万晓榆;罗焱卿;,2022,"从数字基础设施、数字产业、数字融合三个维度构建数字经济发展水平的测度指标体系,基于2015—2018年我国30个省(区、市)的面板数据,通过计量模型研究数字经济对全要素生产率的影响效应,并引入技术进步作为两者的中介变量。研究结果表明:数字经济发展指数、数字基础设施分指数、数字产业分指数、数字融合分指数对区域全要素生产率均有显著的正向影响,影响系数分别为0.554、0.314、0.250、0.477,其中技术进步发挥的中介效应为31.32%。分区域来看,东部地区数字经济对提升全要素生产率具有更高的边际贡献率,该优势集中体现在东部地区具有更加完善的数字基础设施;分维度来看,在区域异质性对全要素生产率的影响效应中,数字基础设施分指数的影响系数最大,数字融合分指数的影响系数最小,表明东部地区与非东部地区之间存在较明显的""数字接入鸿沟""。为更好发挥数字经济对全要素生产率的提升作用,应重视数字底层技术创新,大力发展数字经济产业,缩小区域间""数字经济鸿沟"",完善政府数字治理与服务体系。",,01,改革
中国数字经济发展指数的测度与空间分异特征研究,盛斌;刘宇英;,2022,"从数字基础设施、数字产业和数字治理三个维度54个指标构建了中国大陆省级数字经济发展指数,并基于2005—2019年30个省份的数据,探究了中国数字经济发展的空间分布差异特征与动态演进。研究发现,中国数字经济发展总体速度较快,其中数字治理增长速度最快,但省际之间发展差异较大,在空间上呈非均衡性分布态势,其中区域间差异是构成数字经济发展总体空间差异的主要来源,平均贡献率达63.2%。随着时间推移,各省份数字经济发展水平的差异正逐年减小,但近年来收敛速度有所放缓。此外,各省份的数字经济发展存在显著的正向空间相关性,空间分布上呈高—高集聚、低—低集聚态势,且与发展水平较高的省份相邻能够提高本省份数字经济向更高水平的转移概率。因此,实现地区与省际间数字经济的包容、普惠、协调与互促发展是中国数字战略的一个重要目标与内容。",,01,南京社会科学
数字经济发展对城市碳排放影响的空间效应,徐维祥;周建平;刘程军;,2022,"为探讨数字经济对城市碳排放影响的空间效应,基于2011—2017年286个城市面板数据综合测度数字经济发展水平,运用空间杜宾模型及空间DID模型分析数字经济发展对城市碳排放的影响。主要得到以下结论:(1)数字经济发展存在明显的空间异质性,发展格局从""多点式""零星分布向""组团式""聚集形态转变,但各城市发展层级差距仍未改善,长三角成为重要的数字经济高水平集聚区。(2)数字经济发展显著改善了城市碳排放,通过引入""智慧城市""这一外生政策冲击进行检验,发现结论具有稳健性,而且这种效应存在明显的空间异质性,东部地区数字经济发展对碳排放的负向影响作用较强,位于城市群内部的区域受数字经济的影响更大。(3)数字经济发展对碳排放的作用在不同经济圈层内有所差异,空间外溢具有边界效应,在1100km处外溢达到峰值。(4)数字产业发展、数字创新能力以及数字普惠金融是数字经济影响城市碳排放效应发挥的重要因素。",41,01,地理研究
数字化转型与企业成长：理论逻辑与中国实践,倪克金;刘修岩;,2021,"数字化转型关乎企业成长,也关乎中国产业数字化的成败。本文以2007—2018年A股上市企业为样本,利用文本分析技术提取年报中数字化关键词,研究数字化转型对企业成长的影响及其作用机制。研究结果表明,数字化转型能够促进企业成长,并且数字化转型对头部企业成长的促进作用更大。具体来说,数字化转型对80%分位点企业的影响是20%分位点企业的3.67倍,一系列稳健性检验均证实了上述结论。异质性分析发现:(1)现阶段数字化转型在国有企业中的效果优于非国有企业,这可能是得益于国有企业为地方政府承担""政策性负担""而获得了额外的资源倾斜;(2)数字化转型具有显著的""同群效应"",当同城市同行业内有多家企业实施数字化转型时,数字化转型促进企业成长的效果会更好;(3)在制造业中,数字化转型对企业成长影响显著,而在服务业中则没有捕捉到显著影响。进一步分析发现,提高劳动效率和降低营业成本是数字化转型促进企业成长的主要中介机制,在总效应中分别占24%和18%。本文的研究结论为探索数字化转型对企业成长的影响提供了重要的政策启示。",43,12,经济管理
数字普惠金融、融资约束与中小企业创新——基于新三板企业数据的研究,郎香香;张朦朦;王佳宁;,2021,"本文基于全国地市级数字普惠金融指数与新三板中小企业专利申请量的匹配数据,研究数字普惠金融对企业创新的影响。结果表明:第一,数字普惠金融显著促进了中小企业创新,其覆盖广度和使用深度均发挥出创新驱动效应;第二,数字普惠金融主要通过缓解中小企业的融资约束、降低融资成本来提高企业创新水平;第三,数字普惠金融的创新驱动效应对非国有中小企业和高技术中小企业的影响更为显著;第四,数字普惠金融的创新驱动效应在传统金融发展水平较低地区和制度环境较好地区表现得更为显著。上述结论对数字普惠金融更好地服务中小企业具有一定的启示:第一,要深化数字普惠金融发展,夯实技术基础;第二,要疏通数字普惠金融影响中小企业创新路径,增强创新驱动效应;第三,要优化地区制度环境,保障数字普惠金融发挥创新驱动作用。",,11,南方金融
走向元宇宙：一种新型数字经济的机理与逻辑,袁园;杨永忠;,2022,"元宇宙是一种起始于游戏平台、奠基于数字货币、并由一系列集合式数字技术和硬件技术同步涌现所支持的、人类生活深度介入其中的虚拟世界及生存愿景,其核心是以区块链技术为基础的一种新型数字经济的发展。元宇宙经济的兴起缘于数字技术生态和区块链对互联网底层协议的系统性变革的技术创生机理、数字孪生和数字原生开启人类叙事新可能的生存创生机理,以及数字经济在经历PC互联网经济、移动互联网经济发展之后新的范式转型的经济创生机理。元宇宙经济区隔为一种与之前的数字经济不同的新型数字经济,主要逻辑来自于数字货币的诞生与数字法币的发展,以及围绕着数字资产而展开的一系列新的经济生产和商业模式。支撑这种新型数字经济逻辑的重要架构是数字货币成为从争议性的加密货币到多国央行发行数字法币的共识。依托于区块链分布式记账技术的新型数字资产在元宇宙中以NFT或NFR形态存在,它将带来一系列商业模式变革和经济生产、流通、消费模式的重组。数字身份为数字资产的创造和消费提供了新经济模式,数字资产与现实资产的双向流通创造新经济体系。在以""认同""决定价值的元宇宙经济体系中,精神价值、历史价值、审美价值等复数价值的""资产化""兑现拥有了技术基础,数字生产和消费呈现出与物质世界生产和消费不同的经济规律和价值逻辑,从而将催生出更为丰富多元的数字经济业态,并将极大扩充人类经济的总体量。元宇宙经济叙事事实上预示了人类生存方式扩容、转型的潜在经济社会进程。",39,01,深圳大学学报(人文社会科学版)
数字经济对区域碳排放强度的影响效应及作用机制,谢云飞;,2022,"当前中国正向数字经济时代迈进，与此同时，“碳达峰”“碳中和”是现阶段所面临的严峻挑战，数字经济在碳减排过程中有何作为是亟待探讨的问题，然而有关数字经济与碳排放的实证研究还非常匮乏。鉴于此，利用2011—2018年省际面板数据，实证考察了数字经济发展对区域碳排放强度的影响及作用机制。研究发现：数字经济发展显著降低了区域碳排放强度，该结论通过一系列稳健性检验后依然成立。数字经济对碳排放强度的影响存在异质性，具体来看，数字经济的碳减排效应在中西部地区及碳排放强度较高的地区表现更明显；此外，相较于“产业数字化”,“数字产业化”的碳减排效应更加显著。机制分析表明，区域碳排放强度下降主要是由于碳排放量下降而非产出上升；能源结构的改善是数字经济发展引起碳排放强度下降的重要机制；从数字经济影响区域碳排放的技术效应来看，数字经济主要通过有偏技术进步降低碳排放强度，而非中性技术进步。",44,02,当代经济管理
数字经济与我国制造业出口技术复杂度——基于中介效应与门槛效应的检验,杜传忠;管海锋;,2021,"数字经济为我国制造业增强价值增值能力与产业竞争力提供了重要机遇和动力。文章利用2011-2018年中国制造业省级层面的面板数据对数字经济促进我国制造业出口技术复杂度提升的总体作用、异质性影响和间接机制进行了实证检验。研究发现,数字经济发展总体上显著提升了我国制造业的出口技术复杂度,这一作用在技术密集型行业表现得更为显著。在替换被解释变量、采用工具变量等一系列稳健性检验后,文章的研究结论依然成立。中介效应检验发现,降低交易成本、促进技术溢出、推动产业融合是数字经济促进制造业出口技术复杂度提升的三条基本路径。进一步研究发现,数字经济对制造业出口技术复杂度的提升作用还受制造业自身数字化、智能化改造程度的影响,表现出门槛效应,超过一定界限后,过度推进制造业数字化、智能化升级反而会削弱数字经济对制造业出口技术复杂度的促进作用;分行业看,相较于技术密集型行业,劳动密集型和资本密集型行业中智能化升级的门槛值均较低,智能化升级存在过度的倾向。为此,各地区应努力提升数字经济发展水平,夯实数字经济发展基础,优化数字经济发展环境,完善数字经济治理体系和制度保障,有序推进制造业数字化、智能化改造,打造优良的数字经济产业生态。",,12,南方经济
数字经济发展与绿色全要素生产率提高,周晓辉;刘莹莹;彭留英;,2021,"随着数字技术革命的兴起,数字经济日益成为促进中国经济高质量发展的新动能。本文着重关注数字经济的绿色价值,从要素配置扭曲的视角切入,基于2011-2019年中国城市面板数据,实证检验数字经济发展对绿色全要素生产率的效应及作用机制。研究结论显示:数字经济发展通过优化资本配置扭曲,从而提升绿色全要素生产率,但是缓解劳动力配置扭曲的作用机制并不成立;数字经济可以优化南方城市的劳动力和资本配置扭曲,但南方城市绿色全要素生产率的提升主要依靠数字经济的绿色技术创新和节能减排效应,北方城市绿色全要素生产率的提升主要依靠资本要素的优化配置;数字经济显著提升了中心城市的绿色全要素生产率,但其引致的""虹吸效应""阻碍了外围城市绿色全要素生产率的提高;数字经济对绿色全要素生产率具有""结构性""的提升效应,产业数字化和数字产业化的发展是绿色全要素生产率长久提升的动力来源。",,12,上海经济研究
中国数字普惠金融的测度及其影响研究：一个文献综述,郭峰;熊云军;,2021,"随着通信技术和电子商务的快速发展,数字金融已经渗透到我们生产生活的方方面面,但如何测度中国数字金融的发展现状和普惠程度一直是一个难题。北京大学数字金融研究中心和蚂蚁集团研究院团队合作编制了一套""北京大学数字普惠金融指数"",在一定程度上缓解了中国缺乏数字金融测度的窘迫。目前该指数已得到学术界的广泛应用,本文对常见的数字普惠金融测度,特别是""北京大学数字普惠金融指数""的基本情况进行了总结,并对后者应用中值得注意的问题进行了讨论。数字普惠金融指数可以与家庭、企业、传统金融市场以及区域经济活动等各类数据进行匹配,开展相关领域的研究,但在应用""北京大学数字普惠金融指数""时,也需要高度关注该指数存在的固有缺陷和其他需要注意的问题,如内生性、影响机制讨论等。",13,06,金融评论
数字化转型与企业价值——基于文本分析方法的经验证据,黄大禹;谢获宝;孟祥瑜;张秋艳;,2021,"本文基于中国上市企业2007—2019年数据,借助爬虫技术归集企业年报中的""数字化转型""关键词,实证检验数字化转型对企业价值的影响及其渠道机制。研究发现,数字化转型能够显著提升企业的价值水平。异质性检验结果发现,企业数字化转型对于""国有企业—非国有企业""的价值水平都具有显著的正向驱动作用,但对于非国有企业而言,这种促进作用更为明显;企业数字化转型对""高科技企业—非高科技企业""的价值都具有显著的正向促进作用,对于其中的高科技企业而言,这种促进作用更为明显。从渠道机制检验来看,企业数字化转型能够有效提升技术创新能力、增强要素配置水平并对风险具有更强的可控力,这些因素的改善,都有助于企业价值水平的增加。",,12,经济学家
我国企业数字化转型：现状、问题与展望,史宇鹏;王阳;张文韬;,2021,"加快推进企业数字化转型是新发展格局下实现经济高质量发展的必由之路。基于""万家民营企业评营商环境""调查数据的研究表明,我国企业数字化转型整体尚处于起步阶段。开展数字化转型的企业中,工业和服务业企业居多,而农业企业较少;中部、西部和东北地区企业数字化转型的步伐明显落后于东部地区。复合型人才储备不足、产业基础薄弱等问题是制约数字化转型的主要因素。企业对于疫情防控数字化应用、政府监管数字化等政策较为满意,而对于数字化转型的本地政策、上下游企业数据协同的规范等则抱有更高的期许。促进企业数字化转型,政府应针对不同地区、不同行业的企业精准施策,引导企业增强转型意识,加强数据治理和监管体系建设。",,12,经济学家
